Suburb,Postcode,Latitude,Longitude,Population,Density
"Abbotsford, Victoria",3067,-37.80027778,145,8184,4550
"Aberfeldie, Victoria",3040,-37.75111111,144.9,3897,2482
"Aintree, Victoria",3336,-37.71666667,144.6666667,,
"Airport West, Victoria",3042,-37.71722222,144.8677778,7564,2044
"Albanvale, Victoria",3021,-37.73444444,144.7513889,5491,2700
"Albert Park, Victoria",3206,-37.83416667,144.95,6215,1942
"Albion, Victoria",3020,-37.76805556,144.8013889,4731,1890
"Alphington, Victoria",3078,-37.76777778,145.0172222,5080,1810
"Altona Meadows, Victoria",3028,-37.8675,144.7680556,19160,1842
"Altona North, Victoria",3025,-37.83388889,144.8347222,12152,861.8
"Altona, Victoria",3018,-37.86666667,144.8177778,10762,636.8
"Ardeer, Victoria",3022,-37.78333333,144.8,3103,1480
"Armadale, Victoria",3143,-37.85055556,145.0169444,9054,4120
"Ascot Vale, Victoria",3032,-37.76777778,144.9166667,14750,3880
"Ashburton, Victoria",3147,-37.86694444,145.0830556,7751,2670
"Ashwood, Victoria",3147,-37.86666667,145.1002778,6886,2650
"Aspendale Gardens, Victoria",3195,-38.01722222,145.1166667,6530,1979
"Aspendale, Victoria",3195,-38.0175,145.1002778,6940,2390
"Attwood, Victoria",3049,-37.65138889,144.8836111,3419,1368
"Avondale Heights, Victoria",3034,-37.75111111,144.8511111,11633,2154
"Balaclava, Victoria",3183,-37.86722222,144.9841667,5396,6700
Balwyn North,3104,-37.78416667,145.0863889,20406,2293
"Balwyn, Victoria",3103,-37.80083333,145.0788889,13312,2377
"Bayswater North, Victoria",3153,-37.8175,145.2677778,8789,1204
"Bayswater, Victoria",3153,-37.83416667,145.2666667,11758,1470
"Beaconsfield, Victoria",3807,-38.03472222,145.3669444,6714,
"Beaumaris, Victoria",3193,-37.96805556,145.0341667,13349,2567
"Belgrave Heights, Victoria",3160,-37.91722222,145.3338889,1360,800
"Belgrave South, Victoria",3160,-37.93388889,145.3505556,1645,968
"Belgrave, Victoria",3160,-37.90111111,145.3505556,3929,958
"Bellfield, Victoria",3081,-37.75027778,145.0344444,1793,1990
"Bentleigh East, Victoria",3165,-37.91694444,145.0666667,27635,3004
"Bentleigh, Victoria",3204,-37.91694444,145.0336111,16153,3440
"Berwick, Victoria",3806,-38.01805556,145.3341667,47674,2020
"Bittern, Victoria",3918,-38.33388889,145.1675,3705,104.07
"Black Rock, Victoria",3193,-37.96694444,145.0169444,6159,1665
"Blackburn North, Victoria",3130,-37.80083333,145.15,7436,2860
"Blackburn South, Victoria",3130,-37.83361111,145.1341667,10793,3080
"Blackburn, Victoria",3130,-37.8175,145.15,12796,2206
"Blairgowrie, Victoria",3942,-38.35083333,144.7666667,2313,367.1
"Bonbeach, Victoria",3196,-38.05111111,145.1169444,6416,2290
"Bonnie Brook, Victoria",3335,-37.68444444,144.6669444,,
"Boronia, Victoria",3155,-37.85111111,145.2836111,22195,1947
"Box Hill North, Victoria",3129,-37.80055556,145.1169444,11874,3000
"Box Hill South, Victoria",3128,-37.83361111,145.1172222,8434,2410
"Box Hill, Victoria",3128,-37.81694444,145.1175,11395,3260
"Braeside, Victoria",3195,-38,145.1175,21,
"Braybrook, Victoria",3019,-37.78361111,144.8505556,9195,2138
"Briar Hill, Victoria",3088,-37.70055556,145.1013889,3152,2420
"Brighton East, Victoria",3187,-37.90138889,145.0013889,15998,2857
"Brighton, Victoria",3186,-37.90027778,144.9844444,23253,2836
"Broadmeadows, Victoria",3047,-37.68333333,144.9175,11970,1425
"Brookfield, Victoria",3338,-37.6675,144.5175,9216,
"Brooklyn, Victoria",3012,-37.80111111,144.8338889,1856,357
"Brunswick East, Victoria",3057,-37.7675,144.9672222,11504,5230
"Brunswick West, Victoria",3055,-37.75111111,144.9341667,14159,4420
"Brunswick, Victoria",3056,-37.76666667,144.9511111,24473,4710
"Bulleen, Victoria",3105,,,10873,1623
"Bundoora, Victoria",3083,-37.68444444,145.0513889,28653,1910
"Burnley, Victoria",3121,-37.8175,145.0011111,769,452
"Burnside Heights, Victoria",3023,-37.7175,144.7508333,6072,
"Burnside, Victoria",3023,-37.75027778,144.7502778,4751,1080
"Burwood East, Victoria",3151,-37.85,145.15,10273,2389
"Burwood, Victoria",3125,-37.85,145.1013889,15019,1726
"Cairnlea, Victoria",3023,-37.75055556,144.7833333,9657,
"Calder Park, Victoria",3037,-37.66777778,144.7511111,,
"Camberwell, Victoria",3124,-37.83333333,145.0669444,22081,3810
"Campbellfield, Victoria",3061,-37.66722222,144.9505556,5056,407.7
"Canterbury, Victoria",3126,-37.8175,145.0677778,8056,2700
"Capel Sound, Victoria",3940,-38.3675,144.8669444,4930,1072
"Carlton North, Victoria",3054,-37.78333333,144.9666667,6300,3320
"Carlton, Victoria",3053,-37.8,144.9666667,18535,10300
"Carnegie, Victoria",3163,-37.88361111,145.0511111,17388,4580
"Caroline Springs, Victoria",3023,-37.73444444,144.7338889,24205,4940
"Carrum Downs, Victoria",3201,-38.08444444,145.1677778,20711,1062.1
"Carrum, Victoria",3197,-38.0675,145.1169444,3980,2650
"Caulfield East, Victoria",3145,-37.8675,145.0341667,1584,1220
"Caulfield North, Victoria",3161,-37.86722222,145.0175,15269,3640
"Caulfield South, Victoria",3162,-37.88388889,145.0175,11854,3590
"Caulfield, Victoria",3162,-37.88333333,145.0175,5595,3730
"Chadstone, Victoria",3148,-37.86805556,145.0841667,8641,2790
"Chelsea Heights, Victoria",3196,-38.03444444,145.1336111,5335,1667
"Chelsea, Victoria",3196,-38.05,145.1169444,7773,2990
"Cheltenham, Victoria",3192,-37.96666667,145.0666667,22291,2207
"Chirnside Park, Victoria",3116,-37.75027778,145.3175,9872,307.5
"Clarinda, Victoria",3169,-37.93388889,145.1002778,7481,2022
"Clayton South, Victoria",3169,-37.93444444,145.1172222,12642,1523
"Clayton, Victoria",3168,-37.90138889,145.1177778,19358,2514
"Clifton Hill, Victoria",3068,-37.78388889,144.9847222,6341,4039
Cobblebank,3338,-37.70111111,144.6008333,,
"Coburg North, Victoria",3058,-37.7175,144.9508333,7601,1551
"Coburg, Victoria",3058,-37.73416667,144.9513889,26185,3740
"Collingwood, Victoria",3066,-37.8,144.9836111,8513,7217
"Coolaroo, Victoria",3048,-37.65055556,144.9175,3191,1060
"Craigieburn, Victoria",3064,-37.58416667,144.9333333,50347,4455
"Cranbourne East, Victoria",3977,-38.10027778,145.3005556,16195,
"Cranbourne North, Victoria",3977,-38.06694444,145.2838889,20110,3590
"Cranbourne West, Victoria",3977,-38.10027778,145.2666667,15035,4300
"Cranbourne, Victoria",3977,-38.10027778,145.2677778,20094,2093
"Cremorne, Victoria",3121,-37.81777778,144.9841667,2018,2880
"Crib Point, Victoria",3919,-38.35111111,145.2,2839,451
"Croydon Hills, Victoria",3136,-37.7675,145.2513889,4992,2000
"Croydon North, Victoria",3136,-37.76666667,145.2836111,7860,1970
"Croydon South, Victoria",3136,-37.80138889,145.2669444,4572,2180
"Croydon, Victoria",3136,-37.78444444,145.2680556,26946,1884
"Dallas, Victoria",3047,-37.66666667,144.9338889,6810,2840
"Dandenong North, Victoria",3175,-37.95083333,145.2005556,22451,2363
"Dandenong South, Victoria",3175,-38.01805556,145.2013889,160,28.1
"Dandenong, Victoria",3175,-37.96805556,145.2013889,29906,3360
"Deanside, Victoria",3336,-37.71805556,144.7005556,,
"Deepdene, Victoria",3103,-37.80111111,145.0677778,2035,
"Deer Park, Victoria",3023,-37.75111111,144.7666667,18126,1949
"Delahey, Victoria",3037,-37.71666667,144.7675,8339,2320
"Derrimut, Victoria",3026,-37.78444444,144.7513889,8269,636
"Diamond Creek, Victoria",3089,-37.66694444,145.1502778,11734,641.2
"Diggers Rest, Victoria",3427,-37.61777778,144.7169444,2763,
"Dingley Village, Victoria",3172,-37.96805556,145.1177778,10320,1306
"Docklands, Victoria",3008,-37.81666667,144.9344444,10964,3700
"Doncaster East, Victoria",3109,-37.76805556,145.1513889,28360,2488
"Doncaster, Victoria",3108,-37.76777778,145.1172222,20946,2353
"Donvale, Victoria",3111,-37.78444444,145.1675,12347,972
"Doreen, Victoria",3754,-37.60027778,145.1344444,42069,
"Doveton, Victoria",3177,-37.98361111,145.2338889,9358,2399
"Dromana, Victoria",3936,-38.33361111,144.9513889,5803,936
"Eaglemont, Victoria",3084,-37.75111111,145.0513889,3873,2040
"East Melbourne, Victoria",3002,-37.80111111,144.9833333,4964,2610
"Edithvale, Victoria",3196,-38.03361111,145.1011111,5806,2760
"Elsternwick, Victoria",3185,-37.88361111,145.0005556,10349,3980
"Eltham North, Victoria",3095,-37.68472222,145.1341667,6805,
"Eltham, Victoria",3095,-37.70138889,145.1505556,18314,1387
"Elwood, Victoria",3184,-37.88333333,144.9836111,15543,5980
"Emerald, Victoria",3782,-37.91805556,145.4336111,5778,284.6
"Endeavour Hills, Victoria",3802,-37.96666667,145.2505556,24294,1547
"Epping, Victoria",3076,-37.63361111,145.0008333,32395,2189
"Essendon Fields, Victoria",3041,-37.71777778,144.9,,
"Essendon North, Victoria",3041,-37.73333333,144.9169444,2987,4270
"Essendon West, Victoria",3040,-37.75027778,144.8680556,1439,1400
"Essendon, Victoria",3040,-37.73472222,144.9011111,20596,3322
"Eumemmerring, Victoria",3177,-37.98472222,145.2344444,1948,1770
"Eynesbury, Victoria",3338,-37.76888889,144.5688889,2577,
"Fairfield, Victoria",3078,-37.78416667,145.0011111,6558,1929
"Fawkner, Victoria",3060,-37.70055556,144.9666667,14043,2754
"Ferntree Gully, Victoria",3156,-37.88361111,145.2680556,26428,1662
"Fieldstone, Victoria",3024,-37.75,144.6347222,,
"Fitzroy North, Victoria",3068,-37.78333333,144.9836111,12339,5140
"Fitzroy, Victoria",3065,-37.8,144.9677778,10445,7460
"Flemington, Victoria",3031,-37.78333333,144.9177778,7719,6430
"Footscray, Victoria",3011,-37.78472222,144.8847222,16345,3300
"Forest Hill, Victoria",3131,-37.83416667,145.1669444,10626,2590
"Frankston North, Victoria",3200,-38.11722222,145.1502778,5762,1108
"Frankston South, Victoria",3199,-38.18361111,145.1502778,21098,1426
"Frankston, Victoria",3199,-38.13333333,145.1166667,36097,1735
"Fraser Rise, Victoria",3336,-37.70027778,144.7011111,,
"Garden City, Victoria",3207,-37.83361111,144.9008333,,
"Gardenvale, Victoria",3185,-37.88472222,145.0005556,1006,3400
"Gladstone Park, Victoria",3043,-37.68361111,144.8841667,8338,2254
"Glen Huntly, Victoria",3163,-37.88416667,145.0344444,5040,5600
"Glen Iris, Victoria",3146,-37.85055556,145.0508333,25268,3559
"Glen Waverley, Victoria",3150,-37.86777778,145.1513889,40327,2400
"Glenroy, Victoria",3046,-37.70055556,144.9172222,22245,2445
"Gowanbrae, Victoria",3043,-37.7,144.8847222,2773,2130
"Grangefields, Victoria",3335,-37.70027778,144.6336111,,
"Greensborough, Victoria",3088,-37.68361111,145.1166667,20821,1843
"Greenvale, Victoria",3059,-37.61805556,144.8680556,15466,2308
"Hadfield, Victoria",3046,,,5610,1870
"Hallam, Victoria",3803,-38.00083333,145.2666667,10852,1374
"Hampton East, Victoria",3188,-37.93388889,145.0180556,4689,3350
"Hampton Park, Victoria",3976,-38.01777778,145.2508333,25530,1820
"Hampton, Victoria",3188,-37.93361111,145.0008333,13391,3350
"Harkness, Victoria",3337,-37.65027778,144.5344444,,
"Hastings, Victoria",3915,-38.30055556,145.1838889,9609,230.99
"Hawthorn East, Victoria",3123,-37.81805556,145.05,14321,3770
"Hawthorn, Victoria",3122,-37.8175,145.0333333,23511,4120
"Heatherton, Victoria",3202,-37.95,145.0833333,2907,415
"Heathmont, Victoria",3135,-37.81777778,145.2341667,9688,2153
"Heidelberg Heights, Victoria",3081,-37.73416667,145.0502778,6087,2340
"Heidelberg West, Victoria",3081,-37.73416667,145.0344444,5545,1733
"Heidelberg, Victoria",3084,-37.75,145.0669444,6225,2310
"Highett, Victoria",3190,,,10454,2680
"Hillside, Victoria",3037,-37.68361111,144.7341667,17056,2106
HMAS Cerberus (naval base),3920,-38.36666667,145.1836111,1040,
"Hoppers Crossing, Victoria",3029,-37.86666667,144.6841667,38701,2174
"Hughesdale, Victoria",3166,-37.88416667,145.0833333,7556,3800
"Huntingdale, Victoria",3166,-37.90055556,145.0841667,1862,2330
"Hurstbridge, Victoria",3099,-37.63388889,145.1844444,3450,233.1
"Ivanhoe East, Victoria",3079,-37.76694444,145.0513889,3815,1730
"Ivanhoe, Victoria",3079,-37.76694444,145.0344444,12171,2386
"Jacana, Victoria",3047,-37.66777778,144.9011111,2128,1770
"Junction Village, Victoria",3977,-38.11805556,145.2841667,1017,1270
"Kealba, Victoria",3021,-37.73388889,144.8177778,3194,1331
"Keilor Downs, Victoria",3038,-37.71694444,144.8002778,9995,2127
"Keilor East, Victoria",3033,-37.73416667,144.8511111,14514,1528
"Keilor Lodge, Victoria",3038,-37.68416667,144.7838889,1752,
"Keilor North, Victoria",3036,-37.66777778,144.7833333,67,84
"Keilor Park, Victoria",3042,-37.71666667,144.85,2719,824
"Keilor, Victoria",3036,-37.70111111,144.8180556,5853,356.9
"Kensington, Victoria",3031,-37.78388889,144.9180556,10812,2770
"Kew East, Victoria",3102,-37.78444444,145.0569444,6669,1670
"Kew, Victoria",3101,-37.80027778,145.0358333,24605,2343
"Keysborough, Victoria",3173,-37.98388889,145.1669444,25785,4029
"Kilsyth South, Victoria",3137,-37.81777778,145.3169444,2988,905
"Kilsyth, Victoria",3137,-37.8,145.3013889,10891,1210
"Kings Park, Victoria",3021,-37.73333333,144.7669444,8198,3280
"Kingsbury, Victoria",3083,-37.70138889,145.0333333,3780,2910
"Kingsville, Victoria",3012,-37.80083333,144.8677778,3946,5600
"Knoxfield, Victoria",3180,-37.88388889,145.2347222,7462,1309
"Kooyong, Victoria",3144,-37.83416667,145.035,817,1630
Kurunjang,3337,-37.66694444,144.5833333,10070,
"Lalor, Victoria",3075,-37.66666667,145.0169444,22594,3530
"Langwarrin, Victoria",3910,-38.15,145.1680556,22588,953.1
"Laverton North, Victoria",3026,-37.81777778,144.7833333,73,4.87
"Laverton, Victoria",3028,-37.85055556,144.7672222,4915,723
"Lilydale, Victoria",3140,-37.75055556,145.35,15530,1040
"Lower Plenty, Victoria",3093,-37.73333333,145.1013889,3891,564
"Lynbrook, Victoria",3975,-38.05,145.25,8519,
"Lyndhurst, Victoria",3975,-38.03472222,145.2344444,6725,3960
"Lysterfield, Victoria",3156,-37.91777778,145.3,6663,3170
"McCrae, Victoria",3938,-38.35,144.9169444,2823,763
"McKinnon, Victoria",3204,-37.90083333,145.0338889,6064,4040
"Macleod, Victoria",3085,-37.70138889,145.0513889,9769,3620
"Maidstone, Victoria",3012,-37.76805556,144.8677778,9032,2820
"Malvern East, Victoria",3145,-37.86777778,145.0508333,21707,2856
"Malvern, Victoria",3144,-37.85055556,145.0336111,10066,3470
"Manor Lakes, Victoria",3024,-37.86722222,144.5680556,,
"Maribyrnong, Victoria",3032,-37.76694444,144.8841667,12216,2221
"Meadow Heights, Victoria",3048,-37.65,144.9169444,14842,3230
"Melbourne Airport, Victoria",3045,-37.68361111,144.8338889,104,
"Melton, Victoria",3337,-37.68333333,144.5833333,68765,258.61
"Melton South, Victoria",3338,-37.70027778,144.5669444,11517,
"Melton West, Victoria",3337,-37.6675,144.5502778,17589,
"Melton, Victoria (suburb)",3337,-37.6675,144.6011111,8069,320.2
"Mentone, Victoria",3194,-37.98333333,145.0666667,12965,1729
Mernda,3754,-37.60083333,145.0841667,16458,
"Middle Park, Victoria",3206,-37.85,144.9511111,4143,4600
"Mill Park, Victoria",3082,-37.66694444,145.0511111,29710,2268
"Mitcham, Victoria",3132,-37.81666667,145.1844444,16148,2375
"Monbulk, Victoria",3793,-37.86777778,145.4011111,3577,
"Mont Albert North, Victoria",3129,-37.80055556,145.1138889,5503,2500
"Mont Albert, Victoria",3127,-37.80138889,145.11,4840,3030
"Montmorency, Victoria",3094,-37.71666667,145.1175,8960,2360
"Montrose, Victoria",3765,-37.80083333,145.3341667,6761,615
"Moonee Ponds, Victoria",3039,-37.75138889,144.9169444,14250,3240
Moorabbin Airport,,-37.9675,145.1,,
"Moorabbin, Victoria",3189,-37.93388889,145.0505556,5895,1282
"Moorooduc, Victoria",3933,-38.23444444,145.1002778,1098,
"Mooroolbark, Victoria",3138,-37.78333333,145.3013889,21967,1652
"Mordialloc, Victoria",3195,-37.98472222,145.0841667,8166,1856
"Mornington, Victoria",3931,-38.21777778,145.0511111,23989,1777
"Mount Atkinson, Victoria",3029,-37.75055556,144.6841667,,
"Mount Eliza, Victoria",3930,-38.18388889,145.0841667,17888,778
"Mount Evelyn, Victoria",3796,-37.76805556,145.3833333,9702,
"Mount Martha, Victoria",3934,-38.26666667,145.0166667,18548,1078
"Mount Waverley, Victoria",3149,-37.8675,145.1180556,33611,2114
"Mulgrave, Victoria",3170,-37.91777778,145.1672222,19368,1745
"Murrumbeena, Victoria",3163,-37.88472222,145.0669444,9926,3970
"Narre Warren East, Victoria",3804,-37.95111111,145.3666667,419,
"Narre Warren North, Victoria",3804,-37.96805556,145.3013889,7674,667.3
"Narre Warren South, Victoria",3805,-38.05027778,145.3002778,30319,2280
"Narre Warren, Victoria",3805,-38.01666667,145.3,26621,
"Newport, Victoria",3015,-37.83416667,144.8833333,12916,2533
"Niddrie, Victoria",3042,-37.73444444,144.8836111,4876,2220
"Noble Park North, Victoria",3174,-37.93416667,145.1838889,7468,
"Noble Park, Victoria",3174,-37.96666667,145.1675,30998,2500
"North Warrandyte, Victoria",3113,-37.7175,145.2013889,2956,547
"Northcote, Victoria",3070,-37.76722222,144.9847222,24561,3899
"Notting Hill, Victoria",3168,-37.90027778,145.1416667,3050,3810
"Nunawading, Victoria",3131,-37.81666667,145.1675,11876,2199
"Oak Park, Victoria",3046,-37.71666667,144.9166667,6205,3270
"Oaklands Junction, Victoria",3063,-37.61777778,144.8336111,433,
"Oakleigh East, Victoria",3166,-37.88444444,145.1011111,6444,3070
"Oakleigh South, Victoria",3167,-37.91666667,145.0838889,9261,1403
"Oakleigh, Victoria",3166,-37.90111111,145.1,7893,2260
"Officer, Victoria",3809,-38.05055556,145.4008333,7133,
"Olinda, Victoria",3788,-37.85055556,145.3513889,1738,299.7
"Ormond, Victoria",3163,-37.83388889,145.0338889,8417,4200
"Pakenham, Victoria",3810,-38.06694444,145.4836111,46421,
"Park Orchards, Victoria",3114,-37.76777778,145.2013889,3822,607
"Parkdale, Victoria",3195,-37.98388889,145.0677778,11746,3260
"Parkville, Victoria",3052,-37.78361111,144.95,7409,1850
"Pascoe Vale South, Victoria",3044,-37.73416667,144.9336111,10069,3400
"Pascoe Vale, Victoria",3044,-37.7175,144.9341667,17051,3480
"The Patch, Victoria",3792,-37.88416667,145.3841667,1065,
"Patterson Lakes, Victoria",3197,-38.0675,145.1169444,7564,1801
"Pearcedale, Victoria",3912,-38.20027778,145.2341667,3821,
"Plumpton, Victoria",3335,-37.68361111,144.6666667,4324,
"Point Cook, Victoria",3030,-37.90083333,144.75,60105,6460
"Port Melbourne, Victoria",3207,-37.81722222,144.9011111,16175,1668
"Portsea, Victoria",3944,-38.31694444,144.7011111,510,128
"Prahran, Victoria",3181,-37.85,144.9847222,12982,6180
"Preston, Victoria",3072,-37.73416667,145.0005556,32851,2907
"Princes Hill, Victoria",3054,-37.78333333,144.9513889,2126,5300
"Research, Victoria",3095,-37.70055556,145.1677778,2649,576
"Reservoir, Victoria",3073,-37.70111111,145.0011111,50474,2643
"Richmond, Victoria",3121,-37.81722222,144.9847222,27705,7290
"Ringwood East, Victoria",3135,-37.81666667,145.25,10265,2095
"Ringwood North, Victoria",3134,-37.8,145.2175,9832,1855
"Ringwood, Victoria",3134,-37.80111111,145.2180556,17471,1783
"Ripponlea, Victoria",3185,-37.86777778,144.9847222,1576,5300
"Rockbank, Victoria",3335,,,1536,
"Rosanna, Victoria",3084,-37.73361111,145.0666667,8498,2297
"Rosebud, Victoria",3939,-38.35055556,144.9166667,13195,1109
"Rowville, Victoria",3178,-37.93361111,145.2177778,33672,1727
"Roxburgh Park, Victoria",3064,-37.6175,144.9177778,21817,4280
"Rye, Victoria",3941,-38.3675,144.8336111,8416,572.5
"Safety Beach, Victoria",3936,-38.31694444,144.9836111,4821,800
"St Albans, Victoria",3021,-37.73361111,144.8002778,37309,2870
"St Andrews Beach, Victoria",3941,-38.41666667,144.8177778,889,
"St Helena, Victoria",3088,-37.68361111,145.1336111,2923,1620
"St Kilda East, Victoria",3183,-37.85111111,144.9844444,13101,5700
"St Kilda West, Victoria",3182,-37.85083333,144.9672222,3162,6590
"St Kilda, Victoria",3182,-37.85138889,144.9680556,20230,6320
"Sandhurst, Victoria",3977,-38.06805556,145.2005556,4981,
"Sandringham, Victoria",3191,-37.95,145.0011111,10241,2930
"Scoresby, Victoria",3179,-37.88416667,145.2333333,6022,641
"Seabrook, Victoria",3028,-37.8675,144.7505556,5124,3200
"Seaford, Victoria",3198,-38.10027778,145.1180556,16463,1383
"Seaholme, Victoria",3018,-37.86666667,144.8338889,1928,2140
"Selby, Victoria",3159,-37.90138889,145.3666667,1652,661
"Skye, Victoria",3977,-38.11666667,145.2,8096,426
"Somerton, Victoria",3062,-37.61805556,144.95,,
"Somerville, Victoria",3912,-38.2175,145.1675,11336,298
"Sorrento, Victoria",3943,-38.33388889,144.7338889,1592,227
"South Kingsville, Victoria",3015,-37.81666667,144.8672222,1947,3250
"South Melbourne, Victoria",3205,-37.83333333,144.9508333,10920,4370
"South Morang, Victoria",3752,,,24060,4080
"South Wharf, Victoria",3006,-37.8175,144.95,106,424
"South Yarra, Victoria",3141,-37.83388889,144.9838889,25147,5000
"Southbank, Victoria",3006,-37.81777778,144.9505556,18709,11000
"Spotswood, Victoria",3015,-37.81805556,144.8836111,2604,840
"Springvale South, Victoria",3172,-37.9675,145.1505556,12768,2776
"Springvale, Victoria",3171,-37.93444444,145.1502778,21714,1939
"Strathmore Heights, Victoria",3041,-37.70111111,144.8844444,934,1330
"Strathmore, Victoria",3041,-37.73333333,144.9169444,8419,1238
"Strathtulloh, Victoria",3338,-37.73333333,144.5844444,,
"Sunbury, Victoria",3429,-37.56805556,144.7013889,36084,1633
"Sunshine North, Victoria",3020,-37.75055556,144.8347222,11700,1481
"Sunshine West, Victoria",3020,-37.78444444,144.8013889,18580,2352
"Sunshine, Victoria",3020,-37.76805556,144.8180556,9768,1993
"Surrey Hills, Victoria",3127,-37.81777778,145.1005556,13605,3090
"Sydenham, Victoria",3037,-37.7,144.7666667,10838,3010
"Tarneit Plains, Victoria",3029,-37.76805556,144.6680556,,
"Tarneit, Victoria",3029,-37.81805556,144.6669444,34562,905.48
"Taylors Hill, Victoria",3037,-37.70138889,144.75,14921,3320
"Taylors Lakes, Victoria",3038,-37.7,144.7844444,15519,1990
"Tecoma, Victoria",3160,-37.90055556,145.3341667,2082,1160
"Templestowe Lower, Victoria",3107,-37.75138889,145.1013889,13429,2240
"Templestowe, Victoria",3106,-37.75027778,145.1333333,16618,1130
"The Basin, Victoria",3154,-37.85083333,145.3013889,4416,775
"Thomastown, Victoria",3074,-37.66805556,145.0013889,20523,1396
"Thornbury, Victoria",3071,-37.75083333,145.0005556,18568,3570
"Thornhill Park, Victoria",3335,-37.71777778,144.6175,,
"Toorak, Victoria",3142,-37.83388889,145.0166667,12909,3000
"Tootgarook, Victoria",3941,-38.36722222,144.8347222,2869,797
"Tottenham, Victoria",3012,-37.80055556,144.8505556,0,0
"Travancore, Victoria",3032,-37.76777778,144.9333333,2480,6200
"Truganina, Victoria",3029,-37.81666667,144.75,20687,369
"Tullamarine, Victoria",3043,-37.7,144.8675,6605,957
"Tyabb, Victoria",3913,-38.25083333,145.1838889,3338,50.2
"Upper Ferntree Gully, Victoria",3156,-37.88444444,145.3008333,3416,1140
"Upwey, Victoria",3158,-37.90027778,145.3177778,6652,950
"Vermont South, Victoria",3133,-37.85,145.1680556,11678,1854
"Vermont, Victoria",3133,-37.83361111,145.1847222,10442,2428
"Viewbank, Victoria",3084,-37.71805556,145.1,6923,1538
"Wantirna South, Victoria",3152,-37.86805556,145.2172222,19271,1438
"Wantirna, Victoria",3152,-37.83416667,145.2177778,13818,1665
"Warrandyte, Victoria",3113,-37.73361111,145.2172222,5520,456.2
"Warranwood, Victoria",3134,-37.7675,145.2347222,4807,1717
"Waterways, Victoria",3195,-38.00138889,145.1177778,2461,
"Watsonia North, Victoria",3087,-37.7,145.0680556,3814,2720
"Watsonia, Victoria",3087,-37.70055556,145.0680556,5214,2170
"Wattle Glen, Victoria",3096,-37.65111111,145.1680556,1961,1400
"Weir Views, Victoria",3338,-37.71777778,144.5669444,,
"Werribee South, Victoria",3030,-37.93361111,144.6844444,1768,48.47
"Werribee, Victoria",3030,-37.9,144.6513889,40345,1695
"West Footscray, Victoria",3012,-37.80083333,144.8672222,11450,3010
"West Melbourne, Victoria",3003,-37.80055556,144.9175,5515,862
"Westmeadows, Victoria",3049,-37.66777778,144.8841667,5848,1244
"Wheelers Hill, Victoria",3150,-37.88472222,145.1680556,19753,1918
Williams Landing,3027,-37.85055556,144.7338889,6646,1796
"Williamstown North, Victoria",3016,-37.85027778,144.8844444,1593,885
"Williamstown, Victoria",3016,-37.85111111,144.8833333,13969,2540
"Windsor, Victoria",3181,-37.85027778,144.9836111,7281,7000
"Wollert, Victoria",3750,-37.58444444,145.0180556,9060,
Wyndham Vale,3024,-37.88388889,144.6177778,23273,7510
"Yallambie, Victoria",3085,-37.7175,145.1002778,4117,1328
"Yarraville, Victoria",3013,-37.81666667,144.8838889,14965,2672
