Suburb,Latitude,Longitude
"Abbotsford, Victoria",-37.80027778,145
"Aberfeldie, Victoria",-37.75111111,144.9
"Aintree, Victoria",-37.71666667,144.6666667
"Airport West, Victoria",-37.71722222,144.8677778
"Albanvale, Victoria",-37.73444444,144.7513889
"Albert Park, Victoria",-37.83416667,144.95
"Albion, Victoria",-37.76805556,144.8013889
"Alphington, Victoria",-37.76777778,145.0172222
"Altona Meadows, Victoria",-37.8675,144.7680556
"Altona North, Victoria",-37.83388889,144.8347222
"Altona, Victoria",-37.86666667,144.8177778
"Ardeer, Victoria",-37.78333333,144.8
"Armadale, Victoria",-37.85055556,145.0169444
"Ascot Vale, Victoria",-37.76777778,144.9166667
"Ashburton, Victoria",-37.86694444,145.0830556
"Ashwood, Victoria",-37.86666667,145.1002778
"Aspendale Gardens, Victoria",-38.01722222,145.1166667
"Aspendale, Victoria",-38.0175,145.1002778
"Attwood, Victoria",-37.65138889,144.8836111
"Avondale Heights, Victoria",-37.75111111,144.8511111
"Balaclava, Victoria",-37.86722222,144.9841667
Balwyn North,-37.78416667,145.0863889
"Balwyn, Victoria",-37.80083333,145.0788889
"Bayswater North, Victoria",-37.8175,145.2677778
"Bayswater, Victoria",-37.83416667,145.2666667
"Beaconsfield, Victoria",-38.03472222,145.3669444
"Beaumaris, Victoria",-37.96805556,145.0341667
"Belgrave Heights, Victoria",-37.91722222,145.3338889
"Belgrave South, Victoria",-37.93388889,145.3505556
"Belgrave, Victoria",-37.90111111,145.3505556
"Bellfield, Victoria",-37.75027778,145.0344444
"Bentleigh East, Victoria",-37.91694444,145.0666667
"Bentleigh, Victoria",-37.91694444,145.0336111
"Berwick, Victoria",-38.01805556,145.3341667
"Bittern, Victoria",-38.33388889,145.1675
"Black Rock, Victoria",-37.96694444,145.0169444
"Blackburn North, Victoria",-37.80083333,145.15
"Blackburn South, Victoria",-37.83361111,145.1341667
"Blackburn, Victoria",-37.8175,145.15
"Blairgowrie, Victoria",-38.35083333,144.7666667
"Bonbeach, Victoria",-38.05111111,145.1169444
"Bonnie Brook, Victoria",-37.68444444,144.6669444
"Boronia, Victoria",-37.85111111,145.2836111
"Box Hill North, Victoria",-37.80055556,145.1169444
"Box Hill South, Victoria",-37.83361111,145.1172222
"Box Hill, Victoria",-37.81694444,145.1175
"Braeside, Victoria",-38,145.1175
"Braybrook, Victoria",-37.78361111,144.8505556
"Briar Hill, Victoria",-37.70055556,145.1013889
"Brighton East, Victoria",-37.90138889,145.0013889
"Brighton, Victoria",-37.90027778,144.9844444
"Broadmeadows, Victoria",-37.68333333,144.9175
"Brookfield, Victoria",-37.6675,144.5175
"Brooklyn, Victoria",-37.80111111,144.8338889
"Brunswick East, Victoria",-37.7675,144.9672222
"Brunswick West, Victoria",-37.75111111,144.9341667
"Brunswick, Victoria",-37.76666667,144.9511111
"Bulleen, Victoria",,
"Bundoora, Victoria",-37.68444444,145.0513889
"Burnley, Victoria",-37.8175,145.0011111
"Burnside Heights, Victoria",-37.7175,144.7508333
"Burnside, Victoria",-37.75027778,144.7502778
"Burwood East, Victoria",-37.85,145.15
"Burwood, Victoria",-37.85,145.1013889
"Cairnlea, Victoria",-37.75055556,144.7833333
"Calder Park, Victoria",-37.66777778,144.7511111
"Camberwell, Victoria",-37.83333333,145.0669444
"Campbellfield, Victoria",-37.66722222,144.9505556
"Canterbury, Victoria",-37.8175,145.0677778
"Capel Sound, Victoria",-38.3675,144.8669444
"Carlton North, Victoria",-37.78333333,144.9666667
"Carlton, Victoria",-37.8,144.9666667
"Carnegie, Victoria",-37.88361111,145.0511111
"Caroline Springs, Victoria",-37.73444444,144.7338889
"Carrum Downs, Victoria",-38.08444444,145.1677778
"Carrum, Victoria",-38.0675,145.1169444
"Caulfield East, Victoria",-37.8675,145.0341667
"Caulfield North, Victoria",-37.86722222,145.0175
"Caulfield South, Victoria",-37.88388889,145.0175
"Caulfield, Victoria",-37.88333333,145.0175
"Chadstone, Victoria",-37.86805556,145.0841667
"Chelsea Heights, Victoria",-38.03444444,145.1336111
"Chelsea, Victoria",-38.05,145.1169444
"Cheltenham, Victoria",-37.96666667,145.0666667
"Chirnside Park, Victoria",-37.75027778,145.3175
"Clarinda, Victoria",-37.93388889,145.1002778
"Clayton South, Victoria",-37.93444444,145.1172222
"Clayton, Victoria",-37.90138889,145.1177778
"Clifton Hill, Victoria",-37.78388889,144.9847222
Cobblebank,-37.70111111,144.6008333
"Coburg North, Victoria",-37.7175,144.9508333
"Coburg, Victoria",-37.73416667,144.9513889
"Collingwood, Victoria",-37.8,144.9836111
"Coolaroo, Victoria",-37.65055556,144.9175
"Craigieburn, Victoria",-37.58416667,144.9333333
"Cranbourne East, Victoria",-38.10027778,145.3005556
"Cranbourne North, Victoria",-38.06694444,145.2838889
"Cranbourne West, Victoria",-38.10027778,145.2666667
"Cranbourne, Victoria",-38.10027778,145.2677778
"Cremorne, Victoria",-37.81777778,144.9841667
"Crib Point, Victoria",-38.35111111,145.2
"Croydon Hills, Victoria",-37.7675,145.2513889
"Croydon North, Victoria",-37.76666667,145.2836111
"Croydon South, Victoria",-37.80138889,145.2669444
"Croydon, Victoria",-37.78444444,145.2680556
"Dallas, Victoria",-37.66666667,144.9338889
"Dandenong North, Victoria",-37.95083333,145.2005556
"Dandenong South, Victoria",-38.01805556,145.2013889
"Dandenong, Victoria",-37.96805556,145.2013889
"Deanside, Victoria",-37.71805556,144.7005556
"Deepdene, Victoria",-37.80111111,145.0677778
"Deer Park, Victoria",-37.75111111,144.7666667
"Delahey, Victoria",-37.71666667,144.7675
"Derrimut, Victoria",-37.78444444,144.7513889
"Diamond Creek, Victoria",-37.66694444,145.1502778
"Diggers Rest, Victoria",-37.61777778,144.7169444
"Dingley Village, Victoria",-37.96805556,145.1177778
"Docklands, Victoria",-37.81666667,144.9344444
"Doncaster East, Victoria",-37.76805556,145.1513889
"Doncaster, Victoria",-37.76777778,145.1172222
"Donvale, Victoria",-37.78444444,145.1675
"Doreen, Victoria",-37.60027778,145.1344444
"Doveton, Victoria",-37.98361111,145.2338889
"Dromana, Victoria",-38.33361111,144.9513889
"Eaglemont, Victoria",-37.75111111,145.0513889
"East Melbourne, Victoria",-37.80111111,144.9833333
"Edithvale, Victoria",-38.03361111,145.1011111
"Elsternwick, Victoria",-37.88361111,145.0005556
"Eltham North, Victoria",-37.68472222,145.1341667
"Eltham, Victoria",-37.70138889,145.1505556
"Elwood, Victoria",-37.88333333,144.9836111
"Emerald, Victoria",-37.91805556,145.4336111
"Endeavour Hills, Victoria",-37.96666667,145.2505556
"Epping, Victoria",-37.63361111,145.0008333
"Essendon Fields, Victoria",-37.71777778,144.9
"Essendon North, Victoria",-37.73333333,144.9169444
"Essendon West, Victoria",-37.75027778,144.8680556
"Essendon, Victoria",-37.73472222,144.9011111
"Eumemmerring, Victoria",-37.98472222,145.2344444
"Eynesbury, Victoria",-37.76888889,144.5688889
"Fairfield, Victoria",-37.78416667,145.0011111
"Fawkner, Victoria",-37.70055556,144.9666667
"Ferntree Gully, Victoria",-37.88361111,145.2680556
"Fieldstone, Victoria",-37.75,144.6347222
"Fitzroy North, Victoria",-37.78333333,144.9836111
"Fitzroy, Victoria",-37.8,144.9677778
"Flemington, Victoria",-37.78333333,144.9177778
"Footscray, Victoria",-37.78472222,144.8847222
"Forest Hill, Victoria",-37.83416667,145.1669444
"Frankston North, Victoria",-38.11722222,145.1502778
"Frankston South, Victoria",-38.18361111,145.1502778
"Frankston, Victoria",-38.13333333,145.1166667
"Fraser Rise, Victoria",-37.70027778,144.7011111
"Garden City, Victoria",-37.83361111,144.9008333
"Gardenvale, Victoria",-37.88472222,145.0005556
"Gladstone Park, Victoria",-37.68361111,144.8841667
"Glen Huntly, Victoria",-37.88416667,145.0344444
"Glen Iris, Victoria",-37.85055556,145.0508333
"Glen Waverley, Victoria",-37.86777778,145.1513889
"Glenroy, Victoria",-37.70055556,144.9172222
"Gowanbrae, Victoria",-37.7,144.8847222
"Grangefields, Victoria",-37.70027778,144.6336111
"Greensborough, Victoria",-37.68361111,145.1166667
"Greenvale, Victoria",-37.61805556,144.8680556
"Hadfield, Victoria",,
"Hallam, Victoria",-38.00083333,145.2666667
"Hampton East, Victoria",-37.93388889,145.0180556
"Hampton Park, Victoria",-38.01777778,145.2508333
"Hampton, Victoria",-37.93361111,145.0008333
"Harkness, Victoria",-37.65027778,144.5344444
"Hastings, Victoria",-38.30055556,145.1838889
"Hawthorn East, Victoria",-37.81805556,145.05
"Hawthorn, Victoria",-37.8175,145.0333333
"Heatherton, Victoria",-37.95,145.0833333
"Heathmont, Victoria",-37.81777778,145.2341667
"Heidelberg Heights, Victoria",-37.73416667,145.0502778
"Heidelberg West, Victoria",-37.73416667,145.0344444
"Heidelberg, Victoria",-37.75,145.0669444
"Highett, Victoria",,
"Hillside, Victoria",-37.68361111,144.7341667
HMAS Cerberus (naval base),-38.36666667,145.1836111
"Hoppers Crossing, Victoria",-37.86666667,144.6841667
"Hughesdale, Victoria",-37.88416667,145.0833333
"Huntingdale, Victoria",-37.90055556,145.0841667
"Hurstbridge, Victoria",-37.63388889,145.1844444
"Ivanhoe East, Victoria",-37.76694444,145.0513889
"Ivanhoe, Victoria",-37.76694444,145.0344444
"Jacana, Victoria",-37.66777778,144.9011111
"Junction Village, Victoria",-38.11805556,145.2841667
"Kealba, Victoria",-37.73388889,144.8177778
"Keilor Downs, Victoria",-37.71694444,144.8002778
"Keilor East, Victoria",-37.73416667,144.8511111
"Keilor Lodge, Victoria",-37.68416667,144.7838889
"Keilor North, Victoria",-37.66777778,144.7833333
"Keilor Park, Victoria",-37.71666667,144.85
"Keilor, Victoria",-37.70111111,144.8180556
"Kensington, Victoria",-37.78388889,144.9180556
"Kew East, Victoria",-37.78444444,145.0569444
"Kew, Victoria",-37.80027778,145.0358333
"Keysborough, Victoria",-37.98388889,145.1669444
"Kilsyth South, Victoria",-37.81777778,145.3169444
"Kilsyth, Victoria",-37.8,145.3013889
"Kings Park, Victoria",-37.73333333,144.7669444
"Kingsbury, Victoria",-37.70138889,145.0333333
"Kingsville, Victoria",-37.80083333,144.8677778
"Knoxfield, Victoria",-37.88388889,145.2347222
"Kooyong, Victoria",-37.83416667,145.035
Kurunjang,-37.66694444,144.5833333
"Lalor, Victoria",-37.66666667,145.0169444
"Langwarrin, Victoria",-38.15,145.1680556
"Laverton North, Victoria",-37.81777778,144.7833333
"Laverton, Victoria",-37.85055556,144.7672222
"Lilydale, Victoria",-37.75055556,145.35
"Lower Plenty, Victoria",-37.73333333,145.1013889
"Lynbrook, Victoria",-38.05,145.25
"Lyndhurst, Victoria",-38.03472222,145.2344444
"Lysterfield, Victoria",-37.91777778,145.3
"McCrae, Victoria",-38.35,144.9169444
"McKinnon, Victoria",-37.90083333,145.0338889
"Macleod, Victoria",-37.70138889,145.0513889
"Maidstone, Victoria",-37.76805556,144.8677778
"Malvern East, Victoria",-37.86777778,145.0508333
"Malvern, Victoria",-37.85055556,145.0336111
"Manor Lakes, Victoria",-37.86722222,144.5680556
"Maribyrnong, Victoria",-37.76694444,144.8841667
"Meadow Heights, Victoria",-37.65,144.9169444
"Melbourne Airport, Victoria",-37.68361111,144.8338889
"Melton, Victoria",-37.68333333,144.5833333
"Melton South, Victoria",-37.70027778,144.5669444
"Melton West, Victoria",-37.6675,144.5502778
"Melton, Victoria (suburb)",-37.6675,144.6011111
"Mentone, Victoria",-37.98333333,145.0666667
Mernda,-37.60083333,145.0841667
"Middle Park, Victoria",-37.85,144.9511111
"Mill Park, Victoria",-37.66694444,145.0511111
"Mitcham, Victoria",-37.81666667,145.1844444
"Monbulk, Victoria",-37.86777778,145.4011111
"Mont Albert North, Victoria",-37.80055556,145.1138889
"Mont Albert, Victoria",-37.80138889,145.11
"Montmorency, Victoria",-37.71666667,145.1175
"Montrose, Victoria",-37.80083333,145.3341667
"Moonee Ponds, Victoria",-37.75138889,144.9169444
Moorabbin Airport,-37.9675,145.1
"Moorabbin, Victoria",-37.93388889,145.0505556
"Moorooduc, Victoria",-38.23444444,145.1002778
"Mooroolbark, Victoria",-37.78333333,145.3013889
"Mordialloc, Victoria",-37.98472222,145.0841667
"Mornington, Victoria",-38.21777778,145.0511111
"Mount Atkinson, Victoria",-37.75055556,144.6841667
"Mount Eliza, Victoria",-38.18388889,145.0841667
"Mount Evelyn, Victoria",-37.76805556,145.3833333
"Mount Martha, Victoria",-38.26666667,145.0166667
"Mount Waverley, Victoria",-37.8675,145.1180556
"Mulgrave, Victoria",-37.91777778,145.1672222
"Murrumbeena, Victoria",-37.88472222,145.0669444
"Narre Warren East, Victoria",-37.95111111,145.3666667
"Narre Warren North, Victoria",-37.96805556,145.3013889
"Narre Warren South, Victoria",-38.05027778,145.3002778
"Narre Warren, Victoria",-38.01666667,145.3
"Newport, Victoria",-37.83416667,144.8833333
"Niddrie, Victoria",-37.73444444,144.8836111
"Noble Park North, Victoria",-37.93416667,145.1838889
"Noble Park, Victoria",-37.96666667,145.1675
"North Warrandyte, Victoria",-37.7175,145.2013889
"Northcote, Victoria",-37.76722222,144.9847222
"Notting Hill, Victoria",-37.90027778,145.1416667
"Nunawading, Victoria",-37.81666667,145.1675
"Oak Park, Victoria",-37.71666667,144.9166667
"Oaklands Junction, Victoria",-37.61777778,144.8336111
"Oakleigh East, Victoria",-37.88444444,145.1011111
"Oakleigh South, Victoria",-37.91666667,145.0838889
"Oakleigh, Victoria",-37.90111111,145.1
"Officer, Victoria",-38.05055556,145.4008333
"Olinda, Victoria",-37.85055556,145.3513889
"Ormond, Victoria",-37.83388889,145.0338889
"Pakenham, Victoria",-38.06694444,145.4836111
"Park Orchards, Victoria",-37.76777778,145.2013889
"Parkdale, Victoria",-37.98388889,145.0677778
"Parkville, Victoria",-37.78361111,144.95
"Pascoe Vale South, Victoria",-37.73416667,144.9336111
"Pascoe Vale, Victoria",-37.7175,144.9341667
"The Patch, Victoria",-37.88416667,145.3841667
"Patterson Lakes, Victoria",-38.0675,145.1169444
"Pearcedale, Victoria",-38.20027778,145.2341667
"Plumpton, Victoria",-37.68361111,144.6666667
"Point Cook, Victoria",-37.90083333,144.75
"Port Melbourne, Victoria",-37.81722222,144.9011111
"Portsea, Victoria",-38.31694444,144.7011111
"Prahran, Victoria",-37.85,144.9847222
"Preston, Victoria",-37.73416667,145.0005556
"Princes Hill, Victoria",-37.78333333,144.9513889
"Research, Victoria",-37.70055556,145.1677778
"Reservoir, Victoria",-37.70111111,145.0011111
"Richmond, Victoria",-37.81722222,144.9847222
"Ringwood East, Victoria",-37.81666667,145.25
"Ringwood North, Victoria",-37.8,145.2175
"Ringwood, Victoria",-37.80111111,145.2180556
"Ripponlea, Victoria",-37.86777778,144.9847222
"Rockbank, Victoria",,
"Rosanna, Victoria",-37.73361111,145.0666667
"Rosebud, Victoria",-38.35055556,144.9166667
"Rowville, Victoria",-37.93361111,145.2177778
"Roxburgh Park, Victoria",-37.6175,144.9177778
"Rye, Victoria",-38.3675,144.8336111
"Safety Beach, Victoria",-38.31694444,144.9836111
"St Albans, Victoria",-37.73361111,144.8002778
"St Andrews Beach, Victoria",-38.41666667,144.8177778
"St Helena, Victoria",-37.68361111,145.1336111
"St Kilda East, Victoria",-37.85111111,144.9844444
"St Kilda West, Victoria",-37.85083333,144.9672222
"St Kilda, Victoria",-37.85138889,144.9680556
"Sandhurst, Victoria",-38.06805556,145.2005556
"Sandringham, Victoria",-37.95,145.0011111
"Scoresby, Victoria",-37.88416667,145.2333333
"Seabrook, Victoria",-37.8675,144.7505556
"Seaford, Victoria",-38.10027778,145.1180556
"Seaholme, Victoria",-37.86666667,144.8338889
"Selby, Victoria",-37.90138889,145.3666667
"Skye, Victoria",-38.11666667,145.2
"Somerton, Victoria",-37.61805556,144.95
"Somerville, Victoria",-38.2175,145.1675
"Sorrento, Victoria",-38.33388889,144.7338889
"South Kingsville, Victoria",-37.81666667,144.8672222
"South Melbourne, Victoria",-37.83333333,144.9508333
"South Morang, Victoria",,
"South Wharf, Victoria",-37.8175,144.95
"South Yarra, Victoria",-37.83388889,144.9838889
"Southbank, Victoria",-37.81777778,144.9505556
"Spotswood, Victoria",-37.81805556,144.8836111
"Springvale South, Victoria",-37.9675,145.1505556
"Springvale, Victoria",-37.93444444,145.1502778
"Strathmore Heights, Victoria",-37.70111111,144.8844444
"Strathmore, Victoria",-37.73333333,144.9169444
"Strathtulloh, Victoria",-37.73333333,144.5844444
"Sunbury, Victoria",-37.56805556,144.7013889
"Sunshine North, Victoria",-37.75055556,144.8347222
"Sunshine West, Victoria",-37.78444444,144.8013889
"Sunshine, Victoria",-37.76805556,144.8180556
"Surrey Hills, Victoria",-37.81777778,145.1005556
"Sydenham, Victoria",-37.7,144.7666667
"Tarneit Plains, Victoria",-37.76805556,144.6680556
"Tarneit, Victoria",-37.81805556,144.6669444
"Taylors Hill, Victoria",-37.70138889,144.75
"Taylors Lakes, Victoria",-37.7,144.7844444
"Tecoma, Victoria",-37.90055556,145.3341667
"Templestowe Lower, Victoria",-37.75138889,145.1013889
"Templestowe, Victoria",-37.75027778,145.1333333
"The Basin, Victoria",-37.85083333,145.3013889
"Thomastown, Victoria",-37.66805556,145.0013889
"Thornbury, Victoria",-37.75083333,145.0005556
"Thornhill Park, Victoria",-37.71777778,144.6175
"Toorak, Victoria",-37.83388889,145.0166667
"Tootgarook, Victoria",-38.36722222,144.8347222
"Tottenham, Victoria",-37.80055556,144.8505556
"Travancore, Victoria",-37.76777778,144.9333333
"Truganina, Victoria",-37.81666667,144.75
"Tullamarine, Victoria",-37.7,144.8675
"Tyabb, Victoria",-38.25083333,145.1838889
"Upper Ferntree Gully, Victoria",-37.88444444,145.3008333
"Upwey, Victoria",-37.90027778,145.3177778
"Vermont South, Victoria",-37.85,145.1680556
"Vermont, Victoria",-37.83361111,145.1847222
"Viewbank, Victoria",-37.71805556,145.1
"Wantirna South, Victoria",-37.86805556,145.2172222
"Wantirna, Victoria",-37.83416667,145.2177778
"Warrandyte, Victoria",-37.73361111,145.2172222
"Warranwood, Victoria",-37.7675,145.2347222
"Waterways, Victoria",-38.00138889,145.1177778
"Watsonia North, Victoria",-37.7,145.0680556
"Watsonia, Victoria",-37.70055556,145.0680556
"Wattle Glen, Victoria",-37.65111111,145.1680556
"Weir Views, Victoria",-37.71777778,144.5669444
"Werribee South, Victoria",-37.93361111,144.6844444
"Werribee, Victoria",-37.9,144.6513889
"West Footscray, Victoria",-37.80083333,144.8672222
"West Melbourne, Victoria",-37.80055556,144.9175
"Westmeadows, Victoria",-37.66777778,144.8841667
"Wheelers Hill, Victoria",-37.88472222,145.1680556
Williams Landing,-37.85055556,144.7338889
"Williamstown North, Victoria",-37.85027778,144.8844444
"Williamstown, Victoria",-37.85111111,144.8833333
"Windsor, Victoria",-37.85027778,144.9836111
"Wollert, Victoria",-37.58444444,145.0180556
Wyndham Vale,-37.88388889,144.6177778
"Yallambie, Victoria",-37.7175,145.1002778
"Yarraville, Victoria",-37.81666667,144.8838889
